ADM1_NAME,ADM2_NAME,year,month,SO2_column_number_density
Ashanti,Bosomtwe /Atwima / Kwanwoma,2019.0,6.0,-4.694900961124949E-5
Ashanti,Mampong Municipal,2019.0,6.0,-2.61527718400291E-5
Western,Ellembelle,2019.0,6.0,-4.283193412799963E-5
Western,Prestea / Huni Valley,2019.0,6.0,-5.719416251808278E-5
Western,Nzema East,2019.0,6.0,-3.6295718855730615E-5
Western,Tarkwa Nsuaem,2019.0,6.0,-5.7274522770277283E-5
Western,Sefwi Akontombra,2019.0,6.0,-2.6392749576516387E-5
Western,Sekondi Takoradi,2019.0,6.0,-1.4648945258406138E-5
Western,Sefwi-Wiawso,2019.0,6.0,-4.0096940211774474E-5
Western,Shama,2019.0,6.0,-4.5490242441061306E-5
Ashanti,Sekyere East,2019.0,6.0,-7.463328750285628E-5
Western,Aowin,2019.0,6.0,-5.470467079545563E-5
Western,Suaman,2019.0,6.0,-4.02880168143293E-5
Western,Bia East,2019.0,6.0,-3.323254854414555E-5
Western,Bia West,2019.0,6.0,-4.477246343404727E-5
Western,Bodi,2019.0,6.0,-2.0887805995006094E-5
Western,Juabeso,2019.0,6.0,-4.2577196155237916E-5
Western,Wassa East,2019.0,6.0,-5.650012552616021E-5
Western,Mpohor,2019.0,6.0,-4.7825557459167556E-5
Western,Wassa Amenfi Central,2019.0,6.0,-4.357716217199783E-5
Ashanti,Sekyere Afram Plains,2019.0,6.0,-4.4457785715741674E-5
Ashanti,Sekyere Afram Plains North,2019.0,6.0,-3.3252979912475686E-5
Ashanti,Asante Akim North,2019.0,6.0,-4.128779579516117E-5
Ashanti,Asante Akim Central Municipal,2019.0,6.0,-2.769797278460864E-5
Ashanti,Asokore Mampong Municipal,2019.0,6.0,-3.559666178784085E-5
Ashanti,Kma,2019.0,6.0,-5.5455135579128765E-5
Western,Wassa Amenfi East,2019.0,6.0,-2.919387771682702E-5
Ashanti,Kwabre,2019.0,6.0,-6.339594222384146E-5
Ashanti,Ejura Sekye Dumase,2019.0,6.0,-7.634590715098407E-6
Ashanti,Ahafo Ano South,2019.0,6.0,-2.4861759775912576E-5
Western,Jomoro,2019.0,6.0,-3.841904272611748E-5
Western,Ahanta West,2019.0,6.0,-1.2811108694438517E-5
Western,Sefwi Bibiani-Anhwiaso Bekwai,2019.0,6.0,-2.472002355457275E-5
Ashanti,Amansie West,2019.0,6.0,-3.328674570068595E-5
Ashanti,Asante Akim South,2019.0,6.0,-4.401591846967323E-5
Ashanti,Ahafo Ano North,2019.0,6.0,-2.824643619874874E-5
Ashanti,Ejisu Juaben,2019.0,6.0,-4.525274925841369E-5
Ashanti,Obuasi Municipal,2019.0,7.0,-1.267119647551874E-4
Ashanti,Atwima Nwabiagya,2019.0,7.0,-7.020687858278703E-5
Ashanti,Atwima Mponua,2019.0,7.0,-7.79050704409893E-5
Ashanti,Adansi South,2019.0,7.0,-2.5659108335670522E-5
Ashanti,Adansi North,2019.0,7.0,-7.37988968560583E-5
Ashanti,Bosome Freho,2019.0,7.0,-6.443049870271907E-5
Ashanti,Bekwai Municipal,2019.0,7.0,-8.598468930509698E-5
Ashanti,Amansie Central,2019.0,7.0,-5.0149036751203016E-5
Western,Wassa Amenfi West,2019.0,7.0,3.2087502379391477E-7
Ashanti,Afigya Kwabre,2019.0,7.0,-3.2131195614198716E-5
Ashanti,Atwima Kwanwoma,2019.0,7.0,-6.317207232171876E-5
Ashanti,Afigya Sekyere,2019.0,7.0,-4.699681669347594E-5
Ashanti,Sekyere Central,2019.0,7.0,-4.723748378819871E-5
Ashanti,Offinso North,2019.0,7.0,-5.52990912525674E-5
Ashanti,Offinso Municipal,2019.0,7.0,-1.8897839985498627E-5
Ashanti,Bosomtwe /Atwima / Kwanwoma,2019.0,7.0,-7.426845094906986E-5
Ashanti,Mampong Municipal,2019.0,7.0,-3.861656803658391E-5
Western,Ellembelle,2019.0,7.0,-2.004557181904333E-5
Western,Prestea / Huni Valley,2019.0,7.0,-5.6616289782479874E-5
Western,Nzema East,2019.0,7.0,-1.6567512517941545E-5
Western,Tarkwa Nsuaem,2019.0,7.0,-2.4901015738449383E-5
Western,Sefwi Akontombra,2019.0,7.0,-4.5049797680970744E-5
Western,Sekondi Takoradi,2019.0,7.0,-1.3515843242082602E-5
Western,Sefwi-Wiawso,2019.0,7.0,-5.088263955389361E-5
Western,Shama,2019.0,7.0,-6.929680607057029E-5
Ashanti,Sekyere East,2019.0,7.0,-4.9726081832559444E-5
Western,Aowin,2019.0,7.0,-4.845736716593148E-5
Western,Suaman,2019.0,7.0,-5.63770062741538E-5
Western,Bia East,2019.0,7.0,-8.152929371238479E-5
Western,Bia West,2019.0,7.0,-6.841036303125449E-5
Western,Bodi,2019.0,7.0,-6.363583426616838E-5
Western,Juabeso,2019.0,7.0,-8.574122023459898E-5
Western,Wassa East,2019.0,7.0,-9.287413257982473E-8
Western,Mpohor,2019.0,7.0,-4.7309615038764354E-5
Western,Wassa Amenfi Central,2019.0,7.0,-3.95601210697187E-5
Ashanti,Sekyere Afram Plains,2019.0,7.0,-3.464943905322196E-5
Ashanti,Sekyere Afram Plains North,2019.0,7.0,-4.555764799247253E-5
Ashanti,Asante Akim North,2019.0,7.0,-1.4045070743272406E-5
Ashanti,Asante Akim Central Municipal,2019.0,7.0,-7.386179701751548E-5
Ashanti,Asokore Mampong Municipal,2019.0,7.0,-1.2670087237884884E-4
Ashanti,Kma,2019.0,7.0,-7.663071137595375E-5
Western,Wassa Amenfi East,2019.0,7.0,-4.664431724381956E-5
Ashanti,Kwabre,2019.0,7.0,-4.976041197395691E-5
Ashanti,Ejura Sekye Dumase,2019.0,7.0,-4.1079636030732867E-5
Ashanti,Ahafo Ano South,2019.0,7.0,-7.360175848961297E-5
Western,Jomoro,2019.0,7.0,-2.1042747818035685E-5
Western,Ahanta West,2019.0,7.0,-6.344499455904942E-6
Western,Sefwi Bibiani-Anhwiaso Bekwai,2019.0,7.0,-4.893902461754214E-5
Ashanti,Amansie West,2019.0,7.0,-5.5765160913110574E-5
Ashanti,Asante Akim South,2019.0,7.0,-6.287149434931306E-5
Ashanti,Ahafo Ano North,2019.0,7.0,-7.093870486700804E-5
Ashanti,Ejisu Juaben,2019.0,7.0,-4.2964518184564726E-5
Ashanti,Obuasi Municipal,2019.0,8.0,-3.5759716504707935E-5
Ashanti,Atwima Nwabiagya,2019.0,8.0,-5.58727052147272E-5
Ashanti,Atwima Mponua,2019.0,8.0,-4.348441305993114E-5
Ashanti,Adansi South,2019.0,8.0,-5.299299039651712E-5
Ashanti,Adansi North,2019.0,8.0,-5.916847958417157E-5
Ashanti,Bosome Freho,2019.0,8.0,-3.0429506148689438E-5
Ashanti,Bekwai Municipal,2019.0,8.0,-5.249208039868088E-5
Ashanti,Amansie Central,2019.0,8.0,-4.9427986074095566E-5
Western,Wassa Amenfi West,2019.0,8.0,-3.752777932295657E-5
Ashanti,Afigya Kwabre,2019.0,8.0,-3.664980072716594E-5
Ashanti,Atwima Kwanwoma,2019.0,8.0,-7.069798358171546E-5
Ashanti,Afigya Sekyere,2019.0,8.0,-4.493324649742321E-5
Ashanti,Sekyere Central,2019.0,8.0,-2.9428733598652586E-5
Ashanti,Offinso North,2019.0,8.0,-2.3859517301610717E-5
Ashanti,Offinso Municipal,2019.0,8.0,-2.713033558441765E-5
Ashanti,Bosomtwe /Atwima / Kwanwoma,2019.0,8.0,-3.140965780671755E-5
Ashanti,Mampong Municipal,2019.0,8.0,-3.603388537906768E-5
Western,Ellembelle,2019.0,8.0,-4.482233738678811E-5
Western,Prestea / Huni Valley,2019.0,8.0,-3.774543099805252E-5
Western,Nzema East,2019.0,8.0,-7.229709241618903E-5
Western,Tarkwa Nsuaem,2019.0,8.0,-5.362818141385358E-5
Western,Sefwi Akontombra,2019.0,8.0,-2.4377771148601878E-5
Western,Sekondi Takoradi,2019.0,8.0,1.7302617507688434E-5
Western,Sefwi-Wiawso,2019.0,8.0,-4.223898749664365E-5
Western,Shama,2019.0,8.0,-4.212640731612149E-5
Ashanti,Sekyere East,2019.0,8.0,-2.9317822586612308E-5
Western,Aowin,2019.0,8.0,-5.317846524891304E-5
Western,Suaman,2019.0,8.0,-4.598560380903732E-5
Western,Bia East,2019.0,8.0,-4.0070607367062984E-6
Western,Bia West,2019.0,8.0,-2.1975058147852702E-5
Western,Bodi,2019.0,8.0,-2.077493261117727E-5
Western,Juabeso,2019.0,8.0,-2.8300329826965127E-5
Western,Wassa East,2019.0,8.0,-4.999456990052052E-5
Western,Mpohor,2019.0,8.0,-4.4066420158435544E-5
Western,Wassa Amenfi Central,2019.0,8.0,-4.7526145685464525E-5
Ashanti,Sekyere Afram Plains,2019.0,8.0,-3.557841552091374E-5
Ashanti,Sekyere Afram Plains North,2019.0,8.0,-3.704424840510304E-5
Ashanti,Asante Akim North,2019.0,8.0,-3.862338157915192E-5
Ashanti,Asante Akim Central Municipal,2019.0,8.0,-7.954897909460642E-5
Ashanti,Asokore Mampong Municipal,2019.0,8.0,7.663578666136021E-6
Ashanti,Kma,2019.0,8.0,-4.4687226877814354E-5
Western,Wassa Amenfi East,2019.0,8.0,-4.3347745928958016E-5
Ashanti,Kwabre,2019.0,8.0,-3.91541795350801E-5
Ashanti,Ejura Sekye Dumase,2019.0,8.0,-1.973108821077402E-5
Ashanti,Ahafo Ano South,2019.0,8.0,-3.837095176044323E-5
Western,Jomoro,2019.0,8.0,-2.6642972975045845E-5
Western,Ahanta West,2019.0,8.0,-3.4758619799097186E-5
Western,Sefwi Bibiani-Anhwiaso Bekwai,2019.0,8.0,-4.285343595297636E-5
Ashanti,Amansie West,2019.0,8.0,-3.0691882068797284E-5
Ashanti,Asante Akim South,2019.0,8.0,-3.965257681301844E-5
Ashanti,Ahafo Ano North,2019.0,8.0,-1.0046618183079863E-5
Ashanti,Ejisu Juaben,2019.0,8.0,-1.4755002642511291E-5
Ashanti,Obuasi Municipal,2019.0,9.0,-5.4074695969723066E-5
Ashanti,Atwima Nwabiagya,2019.0,9.0,-9.136809261533354E-5
Ashanti,Atwima Mponua,2019.0,9.0,-4.653380743933297E-5
Ashanti,Adansi South,2019.0,9.0,-4.925046271757445E-5
Ashanti,Adansi North,2019.0,9.0,-7.635779493489553E-5
Ashanti,Bosome Freho,2019.0,9.0,-5.272730046010686E-5
Ashanti,Bekwai Municipal,2019.0,9.0,-6.808599056378368E-5
Ashanti,Amansie Central,2019.0,9.0,-5.212019236119367E-5
Western,Wassa Amenfi West,2019.0,9.0,-3.3536134876707E-5
Ashanti,Afigya Kwabre,2019.0,9.0,-6.180508907856476E-5
Ashanti,Atwima Kwanwoma,2019.0,9.0,-8.338221063809908E-5
Ashanti,Afigya Sekyere,2019.0,9.0,-2.2780970834719083E-5
Ashanti,Sekyere Central,2019.0,9.0,-2.2211168814610668E-5
Ashanti,Offinso North,2019.0,9.0,-2.538682879794786E-5
Ashanti,Offinso Municipal,2019.0,9.0,-4.3185426713840126E-5
Ashanti,Bosomtwe /Atwima / Kwanwoma,2019.0,9.0,-4.6781989754033206E-5
Ashanti,Mampong Municipal,2019.0,9.0,-4.448718222658472E-5
Western,Ellembelle,2019.0,9.0,-1.2024036071478085E-5
Western,Prestea / Huni Valley,2019.0,9.0,-6.325018778789641E-6
Western,Nzema East,2019.0,9.0,-7.610077582413786E-6
Western,Tarkwa Nsuaem,2019.0,9.0,-4.2222643360017546E-5
